punto,pH,temp,prof,veg_PA,veg_G,veg_A,detec,cant
A139,8.21,11.3,8.5,1,1,0,0,0
A140,8.1,11.2,2.5,1,0,0,0,0
R1,7.82,16.4,5,1,1,0,0,0
R2,7.76,17.1,1.5,0,1,0,1,1
R3,7.82,16.2,3,1,1,0,1,1
R4,7.71,16.2,5,0,1,0,0,0
R5,7.3,18,0,0,1,0,1,11
R6,7.09,16.7,5,0,1,0,1,7
R7,6.87,17.2,2,0,1,0,1,4
R8,7.51,17.5,2,0,1,0,1,4
R9,7.46,18.1,7,1,1,0,0,0
R10,7.67,19.1,3,0,1,0,1,4
R11,7.68,19.4,11,1,1,0,0,0
R12,7.55,18.1,5,0,1,0,1,22
A141,7.77,17.3,11,1,1,0,0,0
A142,7.67,18.1,10,0,1,0,1,2
A143,7.66,18.1,0.3,0,1,0,1,9
A144,7.73,17.2,5,0,1,0,0,0
A145,7.72,12.5,50,1,0,0,0,0
A146,7.62,13.5,17,1,0,0,0,0
A147,7.77,14.1,12,0,0,0,0,0
A148,7.45,17.9,3,0,1,0,0,0
A149,7.55,14.3,7,0,1,0,0,0
A150,7.24,20.1,1,1,1,0,0,0
A151,7.48,14.7,15,0,1,0,0,0
A152,7.5,14.2,7,0,1,0,0,0
R13,7.5,19.6,0.1,1,1,0,1,39
R14,7.67,14.2,6,1,1,0,0,0
R15,7.66,13.5,6,1,1,0,0,0
R16,7.68,13.3,4,1,1,0,0,0
A153,7.51,17.3,3,0,1,0,1,5
A154,7.66,15.5,5,0,1,1,1,4
A155,7.55,14.8,1.5,1,0,0,0,0
A156,8.46,22,4,0,1,0,1,21
A157,8.3,19.8,8,1,1,0,0,0
A158,8.29,19,7,1,0,0,1,13
A159,8.17,19.9,12,1,1,0,0,0
A160,8.2,22,5,0,1,0,1,2
A161,8.07,20,10,1,0,0,0,0
A162,8.56,25.4,1,0,1,0,1,2
A163,8.43,24.1,7,0,0,0,1,1
A164,8.32,18.5,2,0,0,0,0,0
A165,8.19,23.8,3,0,1,0,0,0
A166,8.3,27.4,12,0,1,0,1,4
A167,8.21,28.3,6,1,1,0,1,11
